variable,date,year,metric,value,name_station
passenger_transported,2018-01-01,2018,Total,15110,Total
passenger_transported,2018-01-01,2018,Média dos Dias Úteis,610,Total
passenger_transported,2018-01-01,2018,Média dos Sábados,313,Total
passenger_transported,2018-01-01,2018,Média dos Domingos,152,Total
passenger_transported,2018-01-01,2018,Máxima Diária,696,Total
passenger_transported,2018-02-01,2018,Total,16807,Total
passenger_transported,2018-02-01,2018,Média dos Dias Úteis,722,Total
passenger_transported,2018-02-01,2018,Média dos Sábados,517,Total
passenger_transported,2018-02-01,2018,Média dos Domingos,254,Total
passenger_transported,2018-02-01,2018,Máxima Diária,772,Total
passenger_transported,2018-03-01,2018,Total,19470,Total
passenger_transported,2018-03-01,2018,Média dos Dias Úteis,786,Total
passenger_transported,2018-03-01,2018,Média dos Sábados,372,Total
passenger_transported,2018-03-01,2018,Média dos Domingos,222,Total
passenger_transported,2018-03-01,2018,Máxima Diária,836,Total
passenger_transported,2018-04-01,2018,Total,18757,Total
passenger_transported,2018-04-01,2018,Média dos Dias Úteis,774,Total
passenger_transported,2018-04-01,2018,Média dos Sábados,370,Total
passenger_transported,2018-04-01,2018,Média dos Domingos,207,Total
passenger_transported,2018-04-01,2018,Máxima Diária,808,Total
passenger_transported,2018-05-01,2018,Total,19792,Total
passenger_transported,2018-05-01,2018,Média dos Dias Úteis,789,Total
passenger_transported,2018-05-01,2018,Média dos Sábados,409,Total
passenger_transported,2018-05-01,2018,Média dos Domingos,259,Total
passenger_transported,2018-05-01,2018,Máxima Diária,810,Total
passenger_transported,2018-06-01,2018,Total,18618,Total
passenger_transported,2018-06-01,2018,Média dos Dias Úteis,750,Total
passenger_transported,2018-06-01,2018,Média dos Sábados,379,Total
passenger_transported,2018-06-01,2018,Média dos Domingos,243,Total
passenger_transported,2018-06-01,2018,Máxima Diária,818,Total
passenger_transported,2018-07-01,2018,Total,17862,Total
passenger_transported,2018-07-01,2018,Média dos Dias Úteis,711,Total
passenger_transported,2018-07-01,2018,Média dos Sábados,376,Total
passenger_transported,2018-07-01,2018,Média dos Domingos,235,Total
passenger_transported,2018-07-01,2018,Máxima Diária,744,Total
passenger_transported,2018-08-01,2018,Total,20844,Total
passenger_transported,2018-08-01,2018,Média dos Dias Úteis,797,Total
passenger_transported,2018-08-01,2018,Média dos Sábados,397,Total
passenger_transported,2018-08-01,2018,Média dos Domingos,229,Total
passenger_transported,2018-08-01,2018,Máxima Diária,827,Total
passenger_transported,2018-09-01,2018,Total,18080,Total
passenger_transported,2018-09-01,2018,Média dos Dias Úteis,800,Total
passenger_transported,2018-09-01,2018,Média dos Sábados,411,Total
passenger_transported,2018-09-01,2018,Média dos Domingos,111,Total
passenger_transported,2018-09-01,2018,Máxima Diária,841,Total
